,Sentence
7809,works for women too
1412,good shoes
8339,too flimsy
1915,big man running in comfort
1103,comfy
1581,used returns still dirty and did not fit these are mislabeled as men s size and are closer to
3309,very uncomfortable fit
1104,half size small
6766,cheaply made
6001,painful on first day
4793,brooks gosht
6724,disappointed
143,great for extended standing
7608,stylish and comfortable but the material that covers the toes is
6727,too narrow
3539,value comfort
5986,holes form very fast in these shoes
6787,hard and uncomfortable
818,the top of shoe is wonky
4583,fits better than the
4217,very bad quality i used one month then it happened please see the attached pictures and video
4904,good for wider feet not worth the price tag
8637,bad quality
7066,perfect
2040,fantastic
1933,love new balance wide shoes
6443,very comfy and aren t nike
1462,nice shoes
4161,nada
1297,foam bottom
977,missing toungue
4128,poor insole
3298,not so great
5134,really like these shoes
7659,one star
733,donated
2205,heels are too squishy
597,spend a few dollars more on a better shoe
7715,comfortable but squeaky
6204,great shoes and well built i am hard on shoes
849,returned
2906,short term comfort long term pain
6776,not for me
2012,i recommend only new balance for wide feet
5739,these are not that comfortable at all for the price especially
6236,sadly not available in wide and i needed it
4486,solid shoe from brooks
2705,nice sneakers
663,not for people with high arches
3251,fix the squeak
1792,these run way smaller than other nb
423,still good after daily wear for months
2381,❤❤❤
3473,ordered one half size larger
5272,really cute
2869,disappointed
6806,size runs smaller than true
4681,comfortable
8399,inferior quality materials hole in both shoes above the big toe within months of buying
3021,if you have arch or tendon issues these may exacerbate your pain
4150,two stars
125,adidas cloudfoam shoes definitely a good choice
6299,they run small
7797,by far the most comfortable walking shoe
1559,not what they used to be
4648,had to order up half size in narrow
5958,not for running
1990,fits true to size
5032,tread separated from the shoe after a month of use
5877,poor quality
5827,horrible
3697,good inside outside
7494,nike knockoffs
7782,i really like them and size w
4908,width size
3376,the perfect shoe
3189,good shoe but no arch support
380,cute comfortable breathe well
7440,love
7361,perfect fit
1541,narrow
7517,too small outside design looked a bit cheap
7342,little bit small just plan ahead
7393,great choice
7589,size not correct on product stated wide on box but was not
3143,ordered a wide but not wide at all
6230,great shoes for distance running
978,shoe laces do not tighten
5222,great fit but
5960,disappointing flimsy
8448,move on bad choice
1099,comfortable
298,great fashionable and functional shoe
8507,narrow
1097,great shoes for the price
2902,disappointing
4803,size is perfect and true
983,most comfortable shoe
5941,too large
3371,sharp looking shoes
6280,comfortable lightweight seems well made
4814,light
6312,perfect for wide feet
1358,very comfortable
6507,amazon stock shelves are crap
6129,under armour shoes are worth the buy
7084,great quality shoes
8677,check the inside stitching
1198,perfect fit very comfy
1112,love these shoes
8538,soles have holes step near water and you have wet feet
1047,durable for running and hiit gym workouts
3759,great pair great price
5493,lasted just two months worn out already
2229,not much of an insole
7125,nike shoes
1516,not too bad
5934,they fall apart
8028,great shoe for the price
3737,worth trying
7708,no tiene las características requeridas
1238,good walking shoe
5589,poor quality
2499,love them
5922,i need to still return
1704,very comfortable running sneaker for the money
3283,hard and uncomfortable
5678,cute but kill my feet
487,fit runs small
3871,can t wear socks with them
7305,four stars
4825,one little gripe
58,perfect casual shoes
7470,my daughter loves them
614,my rating would be a on everything if they had not been worn before i got them
6132,love
6154,good exercise or daily use shoe
2392,mother in law loves them
2609,best shoes i ve had straight out of box for work
1294,goodlookin shoe fits perfic
4223,not true usa size
7208,good
5811,deserción
6269,very nice shoes
7731,decent shoes good price
146,best ever
2235,not like they used to be
5399,loose fit
6935,already falling apart
4152,ok
618,fit is differ t
502,do not buy this shoe if you want a shoe that lasts longer than mos
4665,solid shoe
3725,good fit
780,fell apart quickly
2340,bad bad quality
3750,my husband’d favorite sneaker
6489,comfortable and good looking
536,not for wide feet not mauve at all
609,super cute but not worth the pain
2686,comfortable and beautiful
2921,inferior material workmanship
3814,great shoes
7034,size up size
3677,it fits
8393,out of alignment
5855,fit
6868,they work for the price
3075,no support
4669,great shoe
6457,i like it so much i bought another pair
8309,comfortable shoes but developed a hole in fabric
319,great everyday shoes
387,got to have
4494,extremely comfortable
3485,comfortable
5165,love these
432,best shoes ever
2970,it does not have enough support for running
6376,awesome fit
8455,poor durability comfortable
6039,built well and have lasted a while
303,light weight comfort
6891,they’re okay
3310,this does not fit at all like any asics i have previously bought and i bought a wide width
6802,heel blister
3137,different sizes
3238,fit
969,these run small
3952,not worth it
660,returned
2707,very happy
7506,too small
6695,decent
2335,not for high instep and arch f wide
7830,asics men s gel venture trail running shoes
4509,great shoes
3984,the sole came off today after he got them
3482,fine for occasional short runs comfortable
4601,fantastic shoe for generally athletic men
223,great running shoe
6984,fell apart in months
5123,awesome
869,cute not comfy
3345,not wide for being a wide sneaker
446,favorite shoes ever
2737,low arch support
2892,first show were too small then i was sent wrong size
6364,great shoe
8256,cheaply made
7124,great shoes
1170,nice looking sneakers
8260,defective shoe that cut the back of my foot
2657,gel venture is the best
7706,too small
4442,good running shoe
1912,pleased
2490,awesome colour fragile fabric design
3040,keep shopping
393,cute but not for running
4750,excellent support heel goes quick
5223,good shoe for the money
7937,durable and comfortable
7548,does not fit as expected too big
8136,love the appearance but
7806,perfect
3192,not as good as my old ones
6496,super comfortable great fit
5378,comfort from first wear
4190,shoes to narrow
2652,💯
1952,light weight and comfortable shoes
4788,very good running shoe
6319,my husband love this shoe
1916,great fit and comfort will purchase nb again
7682,four stars
517,only lasted months
5766,a pain
54,comfy but try on first
7523,would be great except the seam
842,blue shoes not white
3293,too wide looking
3661,quality
5661,good shoes but falls apart easily
2772,good color combo so comfortable
3687,great shoes
2361,ordered them twice and they got it wrong both times
2033,exactly what i needed
5263,prefect fit
1579,stiff shoe
2148,comfortable
375,super comfy
1176,good shoes we like them
7386,five stars
1445,amazing
2668,perfect for a brand new runner
4383,i recommend
5345,super cute
5355,great sneakers
4969,sock slippage
1397,good running shoe
5098,perfect for hour shift
6233,nice pair
6846,runs small
5556,love them
6660,not as pictured
6399,comfortable
3341,run small narrow toe box
3440,order “wide” these run narrow
6228,comfortable supportive shoes
4179,tongue ripped out after month
5712,not the greatest if you have narrow feet and or a high arch
3579,glad i stumbled across this shoe
6060,comfort for being on your feet all day fit right
86,love these look great very flattering
6487,i really like how these shoes look
6082,best xc shoe ever
3007,too narrow
1767,had these for months and love them
7554,half blue shoe
7801,love asics
2812,very comfortable
5094,naked marshmallows
5173,comfortable and lightweight
2981,surprisingly too small
8031,comfortable and good arch support
8419,comfortable but does not last long at all
1322,great shoes
5026,not durable possibly defective
5614,great walking shoes bad for running
7995,the most comfortable shoes i ve ever owned
3746,looks and feels right
812,cute but snug
6105,great for everyday or workouts
4563,very cushy
2958,wish i hadn’t purchased this style of asics
4836,minimalist shoe
5857,love but shoe lace holder broke so easily
2843,great fit
2236,size too small
7898,pleasantly surprised
349,on my second pair love them
7719,the venture was the best the ’s are at least as good best asics yet
8178,gel insoles save your feet
1780,satisfecho
8626,returned
3963,love these shoes for weight lifting
5520,comfortable and cute
6149,great pair of shoes
3649,fit similar to nike
7277,super cute
7604,nice sneakers but runs small
5381,well worth the money
4461,excellent road shoe super comfortable
7458,nice comfy
4896,bigger than last pair of brooks but same size
7631,three stars
4183,
4394,great feel like running on a cloud
1699,nice pair of shoes
4893,worst running shoes i have ever owned
2549,awesome work shoes for painters
3787,feels good
7901,good shoe for all kinds of outdoor activities
